id,title,image_link
13476,تمر خلاص سوبر المزرعة جازات,"https://e-majaz.com/wp-content/uploads/2021/01/5-2.jpg, https://e-majaz.com/wp-content/uploads/2021/01/5-2.jpg, https://e-majaz.com/wp-content/uploads/2021/01/82.jpg"
13480,تمر خلاص سوبر جناز يدوي جازات,https://e-majaz.com/wp-content/uploads/2021/01/85.jpg
13699,بشت شتوي بيج,"https://e-majaz.com/wp-content/uploads/2021/01/0K3A1217-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1215-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1217-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1164-1-scaled.jpg"
13701,بشت شتوي دقة ملكي,"https://e-majaz.com/wp-content/uploads/2021/01/0K3A1221-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1220-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1221-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1171-scaled.jpg"
13703,بشت شتوي بخيه دقة متوسع,"https://e-majaz.com/wp-content/uploads/2021/01/0K3A1214-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1214-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1213-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1168-scaled.jpg"
13705,بشت أسود ملكي ربيعي دقة ملكية,"https://e-majaz.com/wp-content/uploads/2021/01/0K3A1235-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1234-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1178-scaled.jpg"
13756,بشت بيج ملكي ربيعي دقة ملكية,"https://e-majaz.com/wp-content/uploads/2021/01/0K3A1226-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1175-2-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1225-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1226-scaled.jpg"
13847,بشت حساوي أشقر شغل يدوي دقة ملكية,"https://e-majaz.com/wp-content/uploads/2021/01/0K3A1202-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1201-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1176-scaled.jpg"
13862,بشت بني ملكي ربيعي دقة ملكية,"https://e-majaz.com/wp-content/uploads/2021/01/0K3A1206-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1205-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1167-1-scaled.jpg"
13892,بشت أسود زري كمبيوتر دقة ملكية,"https://e-majaz.com/wp-content/uploads/2021/01/0K3A1190-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1189-scaled.jpg, https://e-majaz.com/wp-content/uploads/2021/01/0K3A1184-scaled.jpg"
